time,latitude,longitude,satellites_used
2018-06-11_12:12:02.23,60.10332754,19.92950825,3
2018-06-11_12:12:03.24,60.10322808,19.92957753,3
2018-06-11_12:12:04.24,60.10320249,19.92952535,3
2018-06-11_12:12:05.24,60.10341437,19.92946664,3
2018-06-11_12:12:06.24,60.10346437,19.92949728,3
2018-06-11_12:12:07.24,60.10346437,19.92949728,3
2018-06-11_12:12:08.24,60.10324317,19.92950993,3
2018-06-11_12:12:09.24,60.10340907,19.92950044,3
2018-06-11_12:12:10.24,60.10340907,19.92950044,3
2018-06-11_12:12:11.24,60.10329061,19.92937008,3
2018-06-11_12:12:12.24,60.10317535,19.92935338,3
2018-06-11_12:12:13.24,60.10317535,19.92935338,3
2018-06-11_12:12:14.24,60.10320707,19.92933796,3
2018-06-11_12:12:15.24,60.10333147,19.92937769,3
2018-06-11_12:12:16.24,60.10314719,19.92952851,3
2018-06-11_12:12:17.25,60.10321886,19.92934409,3
2018-06-11_12:12:18.25,60.10318266,19.92935951,3
2018-06-11_12:12:19.25,60.10318266,19.92935951,3
2018-06-11_12:12:20.25,60.10323266,19.92939014,3
2018-06-11_12:12:21.25,60.10340971,19.92944361,3
2018-06-11_12:12:22.25,60.10340971,19.92944361,3
2018-06-11_12:13:54.31,60.10368293,19.92950153,3
2018-06-11_12:13:55.31,60.10368293,19.92950153,3
2018-06-11_12:13:56.32,60.1035428,19.92958623,3
2018-06-11_12:13:57.32,60.10360587,19.92950934,3
2018-06-11_12:13:58.32,60.10360587,19.92950934,3
2018-06-11_12:13:59.32,60.103579,19.92957082,3
2018-06-11_12:14:00.32,60.10355989,19.92955856,3
2018-06-11_12:14:01.32,60.10355989,19.92955856,3
2018-06-11_12:14:02.32,60.10354545,19.92956933,3
2018-06-11_12:14:03.32,60.10355011,19.92959236,3
2018-06-11_12:14:04.32,60.10355011,19.92959236,3
2018-06-11_12:14:05.32,60.10346638,19.92953721,3
2018-06-11_12:14:06.32,60.10343814,19.92950193,3
2018-06-11_12:14:07.32,60.10353814,19.9295632,3
2018-06-11_12:14:08.32,60.10342882,19.92945587,3
2018-06-11_12:14:09.32,60.10345524,19.92947425,3
2018-06-11_12:14:10.33,60.10345524,19.92947425,3
2018-06-11_12:14:11.33,60.10350258,19.92952179,3
2018-06-11_12:14:12.33,60.10339792,19.92943749,3
2018-06-11_12:14:13.33,60.10339792,19.92943749,3
2018-06-11_12:14:14.33,60.10345971,19.92947425,3
2018-06-11_12:14:15.33,60.10346702,19.92948038,3
2018-06-11_12:14:16.33,60.10346702,19.92948038,3
2018-06-11_12:14:17.33,60.10354344,19.9295294,3
2018-06-11_12:14:18.33,60.10352434,19.92951715,3
2018-06-11_12:14:19.33,60.10352434,19.92951715,3
2018-06-11_12:14:20.33,60.10350523,19.92950489,3
2018-06-11_12:14:21.33,60.10350788,19.92948799,3
2018-06-11_12:14:22.33,60.10355523,19.92953553,3
2018-06-11_12:14:23.33,60.10344326,19.9294451,3
2018-06-11_12:14:24.33,60.10346968,19.92946348,3
2018-06-11_12:14:25.34,60.10350788,19.92948799,3
2018-06-11_12:14:26.34,60.10345323,19.92943432,3
2018-06-11_12:14:27.34,60.10345323,19.92943432,3
2018-06-11_12:14:28.34,60.10345323,19.92943432,3
2018-06-11_12:14:29.34,60.10351054,19.92947109,3
2018-06-11_12:14:30.34,60.10344591,19.92942819,3
2018-06-11_12:14:31.34,60.10344591,19.92942819,3
2018-06-11_12:14:32.34,60.10352233,19.92947722,3
2018-06-11_12:14:33.34,60.10332288,19.92948522,3
2018-06-11_12:14:34.34,60.10332288,19.92948522,3
2018-06-11_12:14:35.34,60.10344929,19.92956488,3
2018-06-11_12:14:36.34,60.10344728,19.92952495,3
2018-06-11_12:14:37.34,60.10344728,19.92952495,3
2018-06-11_12:14:38.34,60.10350459,19.92956172,3
2018-06-11_12:14:39.35,60.10348549,19.92954947,3
2018-06-11_12:14:40.35,60.10346904,19.92952031,3
2018-06-11_12:14:41.35,60.10346904,19.92952031,3
2018-06-11_12:14:42.35,60.10341437,19.92946664,3
2018-06-11_12:14:43.35,60.10341437,19.92946664,3
2018-06-11_12:14:44.35,60.10338796,19.92944826,3
2018-06-11_12:14:45.884,60.10338796,19.92944826,3
2018-06-11_12:14:46.884,60.10340971,19.92944361,3
2018-06-11_12:14:47.884,60.10341703,19.92944974,3
2018-06-11_12:14:48.884,60.10341703,19.92944974,3
2018-06-11_12:14:49.884,60.10341703,19.92944974,3
2018-06-11_12:14:50.884,60.10352434,19.92951715,3
2018-06-11_12:14:51.884,60.10352434,19.92951715,3
2018-06-11_12:14:52.884,60.10352434,19.92951715,3
2018-06-11_12:14:53.884,60.10350057,19.92948186,3
2018-06-11_12:14:54.884,60.10350057,19.92948186,3
2018-06-11_12:14:55.885,60.10341236,19.92942671,3
2018-06-11_12:14:56.885,60.10355523,19.92953553,3
2018-06-11_12:14:57.885,60.10355523,19.92953553,3
